title,dynasty,author,content
念奴娇·我来牛渚,宋代,吴渊,我来牛渚，聊登眺、客里襟怀如豁。谁著危亭当此处，占断古今愁绝。江势鲸奔，山形虎踞，天险非人设。向来舟舰，曾扫百万胡羯。<br />追念照水然犀，男儿当似此，英碓豪杰。岁月匆匆留不住，鬓已星星堪镊。云暗江天，烟昏淮地，是断魂时节。栏干捶碎，酒狂忠愤俱发。
正月二十日与潘郭二生出郊寻春忽记去年是日同至女王城作诗乃和前韵,宋代,苏轼,东风未肯入东门，走马还寻去岁村。<br />人似秋鸿来有信，事如春梦了无痕。<br />江城白酒三杯酽，野老苍颜一笑温。<br />已约年年为此会，故人不用赋《招魂》。
国风·郑风·褰裳,先秦,佚名,<p>子惠思我，褰裳涉溱。子不我思，岂无他人？狂童之狂也且！<br />子惠思我，褰裳涉洧。子不我思，岂无他士？狂童之狂也且！</p>
白鹿洞二首·其一,唐代,王贞白,读书不觉已春深，一寸光阴一寸金。(已春深 一作：春已深)<br />不是道人来引笑，周情孔思正追寻。
卜算子·风露湿行云,宋代,张元干,风露湿行云，沙水迷归艇。卧看明河月满空，斗挂苍山顶。 <br />万古只青天，多事悲人境。起舞闻鸡酒未醒，潮落秋江冷。
一百五日夜对月,唐代,杜甫,<p>无家对寒食，有泪如金波。<br />斫却月中桂，清光应更多。<br />仳离放红蕊，想像嚬青蛾。<br />牛女漫愁思，秋期犹渡河。</p>
苏幕遮·草,宋代,梅尧臣,露堤平，烟墅杳。乱碧萋萋，雨后江天晓。独有庾郎年最少。窣地春袍，嫩色宜相照。<br />接长亭，迷远道。堪怨王孙，不记归期早。落尽梨花春又了。满地残阳，翠色和烟老。
喜闻捷报,近现代,毛泽东,"<p>一九四七年中秋步运河上，闻西北野战军收复蟠龙作。</p>
<p>秋风度河上，大野入苍穹。<br />佳令随人至，明月傍云生。<br />故里鸿音绝，妻儿信未通。<br />满宇频翘望，凯歌奏边城。</p>"
池口风雨留三日,宋代,黄庭坚,孤城三日风吹雨，小市人家只菜蔬。<br />水远山长双属玉，身闲心苦一舂锄。<br />翁从旁舍来收网，我适临渊不羡鱼。<br />俯仰之间已陈迹，暮窗归了读残书。
青青河畔草,两汉,佚名,<p>青青河畔草，郁郁园中柳。<br />盈盈楼上女，皎皎当窗牖。<br />娥娥红粉妆，纤纤出素手。<br />昔为倡家女，今为荡子妇。<br />荡子行不归，空床难独守。</p>
西河·垂杨里,近现代,王国维,"<p>垂杨里。兰舟当日曾系。千帆过尽，只伊人不随书至。怪渠道著我侬心，一般思妇游子。</p>
<p>昨宵梦，分明记，几回飞渡烟水。西风吹断，伴灯花、摇摇欲坠。宵深待到凤凰山，声声啼鴂催起。<br />锦书宛在怀袖底。人迢迢、紫塞千里。算是不曾相忆。倘有情早合归来，休寄一纸，无聊相思字。</p>"
齐天乐·碧云阙处无多雨,宋代,高观国,碧云阙处无多雨，愁与去帆俱远。倒苇沙闲，枯兰溆冷，寥落寒江秋晚。楼阴纵览。正魂怯清吟，病多依黯。怕挹西风，袖罗香自去年减。 <br />风流江左久客，旧游得意处，朱帘曾卷。载酒春情，吹箫夜约，犹忆玉娇香软。尘栖故苑，叹璧月空檐，梦云飞观。送绝征鸿，楚峰烟数点。
从军诗五首·其三,两汉,王粲,从军征遐路，讨彼东南夷。<br />方舟顺广川，薄暮未安坻。<br />白日半西山，桑梓有余晖。<br />蟋蟀夹岸鸣，孤鸟翩翩飞。<br />征夫心多怀，恻怆令吾悲。<br />下船登高防，草露沾我衣。<br />回身赴床寝，此愁当告谁。<br />身服干戈事，岂得念所私。<br />即戎有授命，兹理不可违。
昼梦,唐代,杜甫,二月饶睡昏昏然，不独夜短昼分眠。<br />桃花气暖眼自醉，春渚日落梦相牵。<br />故乡门巷荆棘底，中原君臣豺虎边。<br />安得务农息战斗，普天无吏横索钱。
小桃红·胖妓,元代,王和卿,夜深交颈效鸳鸯，锦被翻红浪。雨歇云收那情况，难当，一翻翻在人身上。偌长偌大，偌粗偌胖，压扁沈东阳。
庆清朝·禁幄低张,宋代,李清照,禁幄低张，彤阑巧护，就中独占残春。容华淡伫，绰约俱见天真。待得群花过后，一番风露晓妆新。妖娆艳态，妒风笑月，长殢东君。 <br />东城边，南陌上，正日烘池馆，竟走香轮。绮筵散日，谁人可继芳尘。更好明光宫殿，几枝先近日边匀。金尊倒，拚了尽烛，不管黄昏。
李都尉古剑,唐代,白居易,古剑寒黯黯，铸来几千秋。<br />白光纳日月，紫气排斗牛。<br />有客借一观，爱之不敢求。<br />湛然玉匣中，秋水澄不流。<br />至宝有本性，精刚无与俦。<br />可使寸寸折，不能绕指柔。<br />愿快直士心，将断佞臣头。<br />不愿报小怨，夜半刺私仇。<br />劝君慎所用，无作神兵羞。
无题·飒飒东风细雨来,唐代,李商隐,飒飒东风细雨来，芙蓉塘外有轻雷。<br />金蟾啮锁烧香入，玉虎牵丝汲井回。<br />贾氏窥帘韩掾少，宓妃留枕魏王才。<br />春心莫共花争发，一寸相思一寸灰！
商颂·烈祖,先秦,佚名,嗟嗟烈祖！有秩斯祜。<br />申锡无疆，及尔斯所。<br />既载清酤，赉我思成。<br />亦有和羹，既戒既平。<br />鬷假无言，时靡有争。<br />绥我眉寿，黄耇无疆。<br />约軧错衡，八鸾鸧鸧。<br />以假以享，我受命溥将。<br />自天降康，丰年穰穰。<br />来假来飨，降福无疆。<br />顾予烝尝，汤孙之将。
贺新郎·往事何堪说,宋代,刘学箕,往事何堪说。念人生、消磨寒暑，漫营裘葛。少日功名频看镜，绿鬓鬅鬙未雪。渐老矣、愁生华发。国耻家仇何年报，痛伤神、遥望关河月。悲愤积，付湘瑟。<br />人生未可随时别。守忠诚、不替天意，自能符合。误国诸人今何在，回首怨深次骨。叹南北、久成。中夜闻鸡狂起舞，袖青蛇、戛击光磨铁。三太息，眦空裂。
夕次盱眙县,唐代,韦应物,落帆逗淮镇，停舫临孤驿。浩浩风起波，冥冥日沉夕。 <br />人归山郭暗，雁下芦洲白。独夜忆秦关，听钟未眠客。
四月二十三日晚同太冲表之公实野步,宋代,洪炎,四山矗矗野田田，近是人烟远是邨。<br />鸟外疏钟灵隐寺，花边流水武陵源。<br />有逢即画原非笔，所见皆诗本不言。<br />看插秧栽欲忘返，杖藜徙倚至黄昏。
沉醉东风·赠妓朱帘秀,元代,胡祗遹,锦织江边翠竹，绒穿海上明珠。月淡时风清处，都隔断落红尘土。一片闲云任卷舒，挂尽朝云暮雨。
次元明韵寄子由,宋代,黄庭坚,半世交亲随逝水，几人图画入凌烟？<br />春风春雨花经眼，江北江南水拍天。<br />欲解铜章行问道，定知石友许忘年。<br />脊令各有思归恨，日月相催雪满颠。
点绛唇·春日风雨有感,明代,陈子龙,满眼韶华，东风惯是吹红去。几番烟雾，只有花难护。<br />梦里相思，故国王孙路。春无主！杜鹃啼处，泪洒胭脂雨。
途中见杏花,唐代,吴融,一枝红杏出墙头，墙外行人正独愁。<br />长得看来犹有恨，可堪逢处更难留！<br />林空色暝莺先到，春浅香寒蝶未游。<br />更忆帝乡千万树，澹烟笼日暗神州。
忆秦娥·秋萧索,宋代,黄机,秋萧索。梧桐落尽西风恶。西风恶。数声新雁，数声残角。 <br />离愁不管人飘泊。年年孤负黄花约。黄花约。几重庭院，几重帘幕。
浣溪沙·五月江南麦已稀,清代,纳兰性德,五月江南麦已稀，黄梅时节雨霏微。闲看燕子教雏飞。<br />一水浓阴如罨画，数峰无恙又晴晖。湔裙谁独上渔矶。
送赞律师归嵩山,唐代,清江,禅客归心急，山深定易安。<br />清贫修道苦，孝友别家难。<br />雪路侵溪转，花宫映岳看。<br />到时瞻塔暮，松月向人寒。
杨柳枝词,唐代,白居易,一树春风千万枝，嫩于金色软于丝。 <br />永丰西角荒园里，尽日无人属阿谁？
西江月·世事短如春梦,宋代,朱敦儒,世事短如春梦，人情薄似秋云。不须计较苦劳心，万事原来有命。<br />幸遇三杯酒好，况逢一朵花新。片时欢笑且相亲，明日阴晴未定。
断句,南北朝,刘昶,<p>白云满鄣来，黄尘暗天起。<br />关山四面绝，故乡几千里。</p>
西江月·断送一生惟有,宋代,黄庭坚,"<p>老夫既戒酒不饮，遇宴集，独醒其旁。坐客欲得小词，援笔为赋。</p>
<p>断送一生惟有，破除万事无过。远山横黛蘸秋波，不饮旁人笑我。<br />花病等闲瘦弱，春愁无处遮拦。杯行到手莫留残，不道月斜人散。</p>"
六言诗·给彭德怀同志,近现代,毛泽东,山高路远坑深，大军纵横驰奔。<br />谁敢横刀立马？唯我彭大将军。
贵公子夜阑曲,唐代,李贺,袅袅沉水烟，乌啼夜阑景。<br />曲沼芙蓉波，腰围白玉冷。
自金陵溯流过白璧山玩月达天门寄句容王主簿,唐代,李白,沧江溯流归，白璧见秋月。<br />秋月照白璧，皓如山阴雪。<br />幽人停宵征，贾客忘早发。<br />进帆天门山，回首牛渚没。<br />川长信风来，日出宿雾歇。<br />故人在咫尺，新赏成胡越。<br />寄君青兰花，惠好庶不绝。
鹧鸪天·九日悲秋不到心,宋代,晏几道,九日悲秋不到心。凤城歌管有新音。风凋碧柳愁眉淡，露染黄花笑靥深。 <br />初见雁，已闻砧。绮罗丛里胜登临。须教月户纤纤玉，细捧霞觞滟滟金。
无题·飒飒东风细雨来,唐代,李商隐,飒飒东风细雨来，芙蓉塘外有轻雷。<br />金蟾啮锁烧香入，玉虎牵丝汲井回。<br />贾氏窥帘韩掾少，宓妃留枕魏王才。<br />春心莫共花争发，一寸相思一寸灰！
论诗五首·其二,清代,赵翼,李杜诗篇万口传，至今已觉不新鲜。<br />江山代有才人出，各领风骚数百年。
普天乐·咏世,元代,张鸣善,洛阳花，梁园月，好花须买，皓月须赊。<br />花倚栏干看烂熳开，月曾把酒问团圆夜。<br />月有盈亏花有开谢，想人生最苦离别。<br />花谢了三春近也，月缺了中秋到也，人去了何日来也？
煎盐绝句,清代,吴嘉纪,<p>白头灶户低草房，六月煎盐烈火旁。<br />走出门前炎日里，偷闲一刻是乘凉。</p>
八月十五日夜瑶台寺对月绝句,唐代,权德舆,嬴女乘鸾已上天，仁祠空在鼎湖边。 <br />凉风遥夜清秋半，一望金波照粉田。
西江月·顷在黄州,宋代,苏轼,"<p>顷在黄州，春夜行蕲水中，过酒家饮，酒醉，乘月至一溪桥上，解鞍，由肱醉卧少休。及觉已晓，乱山攒拥，流水锵然，疑非尘世也。书此语桥柱上。(由肱 一作：曲肱)</p>
<p>照野弥弥浅浪，横空隐隐层霄。障泥未解玉骢骄，我欲醉眠芳草。<br />可惜一溪风月，莫教踏碎琼瑶。解鞍欹枕绿杨桥，杜宇一声春晓。</p>"
千年调·卮酒向人时,宋代,辛弃疾,"<p>蔗庵小阁名曰“卮言”，作此词以嘲之。</p>
<p>卮酒向人时，和气先倾倒。最要然然可可，万事称好。滑稽坐上，更对鸱夷笑。寒与热，总随人，甘国老。<br />少年使酒，出口人嫌拗。此个和合道理，近日方晓。学人言语，未会十会巧。看他们，得人怜，秦吉了。 </p>"
西江月·粉面都成醉梦,宋代,辛弃疾,粉面都成醉梦，霜髯能几春秋。来时诵我伴牢愁。一见尊前似旧。<br />诗在阴何侧畔，字居罗赵前头。锦囊来往几时休。已遣蛾眉等候。
登岳阳楼,宋代,萧德藻,不作苍茫去，真成浪荡游。<br />三年夜郎客，一柁洞庭秋。<br />得句鹭飞处，看山天尽头。<br />犹嫌未奇绝，更上岳阳楼。
国风·郑风·褰裳,先秦,佚名,<p>子惠思我，褰裳涉溱。子不我思，岂无他人？狂童之狂也且！<br />子惠思我，褰裳涉洧。子不我思，岂无他士？狂童之狂也且！</p>
衡阳与梦得分路赠别,唐代,柳宗元,十年憔悴到秦京，谁料翻为岭外行。<br />伏波故道风烟在，翁仲遗墟草树平。<br />直以慵疏招物议，休将文字占时名。<br />今朝不用临河别，垂泪千行便濯缨。
